+=======================================================================================================================================+
| SPHERE 
+============+==============+=============+==============+=============+=============+=============================+
| ID         | coord        | diam        | RGB          | refl        | refr coef   | refr idx     |
+============+==============+=============+==============+=============+=============+=============================+
 sp           940.98,1.23,-74.93    2.47    255,255,0    0.54    0.98    2.21
 sp           745.24,6.38,-503.89    12.77    255,255,0    0.93    0.19    1.17
 sp           -657.24,2.39,-714.35    4.78    255,255,0    0.13    0.35    2.31
 sp           412.63,1.89,-248.06    3.78    255,255,0    0.26    0.96    2.13
 sp           633.44,2.81,-58.93    5.61    255,255,0    0.62    0.38    1.34
 sp           186.99,7.00,-622.58    14.01    255,255,0    0.71    0.36    2.21
 sp           720.90,2.48,-13.30    4.96    255,255,0    0.73    0.31    1.25
 sp           793.33,5.47,-443.42    10.94    255,255,0    0.65    0.07    1.63
 sp           -867.29,3.49,17.23    6.98    255,255,0    0.29    0.50    1.80
 sp           527.74,7.50,-804.90    14.99    255,255,0    0.43    0.80    1.12
 sp           -518.14,6.18,327.69    12.35    255,255,0    0.41    0.40    2.33
 sp           141.54,9.10,-607.47    18.20    255,255,0    0.11    0.09    1.27
 sp           -936.59,2.20,216.94    4.40    255,255,0    0.92    0.67    1.96
 sp           469.65,3.19,459.57    6.38    255,255,0    0.46    0.16    1.07
 sp           76.88,7.39,-196.60    14.79    255,255,0    0.11    0.81    1.16
 sp           796.69,4.58,-20.03    9.16    255,255,0    0.08    0.10    1.21
 sp           -351.53,7.74,-738.61    15.49    255,255,0    0.46    0.06    1.64
 sp           -801.90,4.51,-485.19    9.02    255,255,0    0.24    0.99    1.18
 sp           -23.73,3.53,-102.36    7.05    255,255,0    0.53    0.99    2.02
 sp           -509.20,5.40,-798.20    10.81    255,255,0    0.35    0.10    2.30
 sp           -603.46,6.28,-203.08    12.56    255,255,0    0.95    0.86    1.96
 sp           -256.47,9.10,909.69    18.20    255,255,0    0.76    0.20    2.34
 sp           763.40,4.07,375.61    8.14    255,255,0    0.16    0.22    1.49
 sp           689.34,4.86,-63.90    9.72    255,255,0    0.33    0.82    1.79
 sp           -597.64,5.73,-36.66    11.46    255,255,0    0.56    0.54    1.90
 sp           -712.83,1.08,637.11    2.15    255,255,0    0.04    0.70    2.04
 sp           -246.80,9.27,725.17    18.54    255,255,0    0.70    0.71    1.58
 sp           324.04,7.22,-515.08    14.44    255,255,0    0.19    0.80    1.35
 sp           574.76,9.71,630.46    19.41    255,255,0    0.79    0.42    1.98
 sp           -692.97,1.81,-567.80    3.63    255,255,0    0.07    0.92    2.20
 sp           -80.79,8.55,-890.51    17.10    255,255,0    0.67    0.72    1.12
